Qualification,East Khasi Hills,West Khasi Hills,South West Khasi Hills,West Garo Hills,East Garo Hills,South Garo Hills,South West Garo Hills,North Garo Hills,West Jaintia Hills,East jaintia Hills,Ri Bhoi
NTT,2,0,0,0,0,0,0,0,0,0,0
M.C.J.,14,0,0,0,0,0,0,0,0,0,0
M.S.W.,201,13,0,6,0,0,0,0,11,10,7
M.C.A.,101,3,0,1,0,0,0,0,2,7,2
M.C.S./M.Sc-COMPUTER SCIENCE,3,0,0,0,0,0,0,0,0,0,0
M.D.-ANAESTHESIA,1,0,0,0,0,0,0,0,0,0,0
M.Sc.-FORESTRY,8,1,0,0,0,0,0,0,1,0,1
M.Sc.-FISHERIES,5,0,0,0,0,0,0,0,0,0,0
M.S.W.-MEDICAL/PSYCH,6,0,0,0,0,0,0,0,0,0,0
PG Dip-HUMAN RESOURCE MGMNT,2,0,0,0,0,0,0,0,0,0,0
MASTER IN TOURISM & TRAVEL,13,1,0,0,0,0,0,0,1,0,1
PG Dip-FOOD PROCESSING & PRESERVATION,0,0,0,0,0,0,0,0,1,0,0
PG Dip-SERICULTURE,0,0,0,0,0,0,0,0,1,1,0
PG Dip-BUSINESS MGMT,3,1,0,0,0,0,0,0,0,0,0
PG Dip-RURAL DEVELOPMENT & MGT.,5,0,0,0,0,0,0,0,0,0,0
PG Dip-STATISTICS,6,0,0,0,0,0,0,0,0,0,0
M.A.,836,40,0,11,1,0,0,0,65,29,12
M.A. Additional 1,10,0,0,0,0,0,0,0,0,0,7
M.A. Additional 2,1,0,0,0,0,0,0,0,0,0,0
M.A. Additional 3,1,0,0,0,0,0,0,0,0,0,1
M.A. Additional 4,1,0,0,0,0,0,0,0,0,0,0
M.E./M.Tech-ELECTRICAL ENGG.ELECTRICAL & POWER,1,0,0,0,0,0,0,0,0,0,0
M.E./M.Tech-ELECTRONICS & COMM ENGG,4,0,0,0,0,0,0,0,0,0,0
M.E./M.Tech-INFORMATION TECHGY,3,0,0,0,0,0,0,0,0,0,0
M.Com.,27,2,0,3,0,0,0,0,4,5,4
M.Com. Additional 1,1,0,0,0,0,0,0,0,0,0,0
NET/PhD,9,0,0,0,0,0,0,0,3,0,0
PG Dip-GIS & Remote Sensing,3,0,0,0,0,0,0,0,0,0,0
M.Lib.Sc,71,1,0,0,0,0,0,0,1,0,0
PG Dip-PUBLIC RELATION,2,0,0,0,0,0,0,0,0,0,0
MASTER OF HOME SCIENCE,2,0,0,0,0,0,0,0,1,1,0
M.E./M.Tech-AGRICULTURAL,5,0,0,0,0,0,0,0,0,0,0
N/A Old Qualification (PG Dip.),2,0,0,0,0,0,0,0,0,1,0
PG Dip-ATHELETIC COACH,1,0,0,0,0,0,0,0,0,0,0
PG DDM,1,0,0,0,0,0,0,0,0,0,0
PG Diploma Health Economics,1,0,0,0,0,0,0,0,0,0,0
PG Diploma in Hindi Translation,2,0,0,0,0,0,0,0,0,0,0
M.E./M.Tech-COMPUTER,2,0,0,0,0,0,0,0,0,0,0
M.E./M.Tech-FOOD TECHNOLOGY,2,0,0,0,0,0,0,0,0,0,0
M.E./M.Tech-ELECTRONICS,1,0,0,0,0,0,0,0,0,0,0
M.E./M.Tech-POWER ELECTRONICS,1,0,0,0,0,0,0,0,0,0,0
M.Sc.-INFORMATION TECHNOLOGY,2,0,0,0,0,0,0,0,0,0,0
M.E./M.Tech-TEXTILE,0,0,0,0,0,0,0,0,1,0,0
M.E./M.Tech-ELECTRONICS & TELECOM.,5,0,0,0,0,0,0,0,0,0,0
M.E./M.Tech-ELECTRICAL,1,0,0,0,0,0,0,0,0,0,0
L.L.M.,5,0,0,0,0,0,0,0,1,0,0
M.F.A.,0,0,0,1,0,0,0,0,0,0,0
PG Dip-MEDICAL LABORATORY TECHNOLOGY,1,0,0,0,0,0,0,0,0,1,0
NET,32,0,0,0,0,0,0,0,0,0,0
M.Pharm.,4,0,0,0,0,0,0,0,0,0,0
M.Sc.,563,9,0,2,0,0,1,0,23,19,7
M.S.C. Additional 1,11,0,0,0,0,0,0,0,0,0,0
M.Sc.-AGRICULTURE,13,1,0,3,0,0,0,0,4,0,0
M.Sc.-HORTICULTURE.,7,0,0,0,0,0,0,0,0,0,0
M.Sc.-Rural and Agriculture Develoment & Production.,3,0,0,0,0,0,0,0,0,0,0
M.V.Sc.,2,0,0,0,0,0,0,0,0,0,0
PG Dip-REHABILITATION OCCUPATIONAL THERAPY,2,0,0,0,0,0,0,0,0,0,0
M.E./M.Tech-BIOTECHNOLOGY ENGINEER,1,0,0,0,0,0,0,0,0,0,1
M.E./M.Tech - WATER MGMT ENGG,3,0,0,0,0,0,0,0,0,0,0
MASTER OF PHYSICAL EDUCATION,8,0,0,0,0,0,0,0,0,0,0
BARBER,1,0,0,0,0,0,0,0,0,0,0
DRIVER,22,0,0,0,0,0,0,0,1,0,0
DRIVER-TAXI,2,0,0,0,0,0,0,0,0,0,0
DRIVER-BUS,1,0,0,0,0,0,0,0,0,0,0
DRIVER-HMV,9,0,0,0,0,0,0,0,0,0,0
M.Phil.-ARTS,5,0,0,0,0,0,0,0,0,0,1
SANGEET VISHARAD TABLA,1,0,0,0,0,0,0,0,0,0,0
NET/ PhD- Arts,2,0,0,0,0,0,0,0,0,0,0
NET/ PhD- Commerce,2,0,0,0,0,0,0,0,0,0,0
Ph.D.-PHARMACY,1,0,0,0,0,0,0,0,0,0,0
NET/PhD-SCIENCE,7,0,0,0,0,0,0,0,0,0,0
